Nome Escola,Pontuação IRD
MARIA DE QUADROS DO PRADO CRECHE MUNICIPAL,2.129211
MARIA BAPTISTA DE CASTRO PROFESSORA EMEF,2.913143
RITA DIAS FERRAZ BATISTA PROFA PEM,2.838556
EMEI PROFESSORA EDINA DE PAULA HYSSA LUIZ,1.4755
ANTONIO BARREIROS PROFESSOR,2.733405
MONTEIRO LOBATO CENTRO COMUNITARIO EMEI,2.876802
ALAYDE DE FIGUEIREDO PALMA CANASSA EMEFEI,2.111801
EMIRENA VIEIRA DA FONSECA FIGUEIREDO EMEI,1.968827
CARMEM MIGUEL VICARI EMEF,2.351943
GERALDO TROSSEL PADRE EMEF,2.942759
JOAQUIM DA CUNHA CORONEL EMEF,3.280761
ERMELINDA ROSALINA SAMMARCO DE FIGUEIREDO EMEFEI,2.243712
ANA LUCIA FELIPE PENTEADO FERREIRA EMEFEI,1.915744
EMEI PROFESSORA AMARILIS CALIL JARDIM,1.997029
CRECHE ESCOLA LOURDES BORTOLONE MERLO,2.866245
DIOGO GARCIA MARTINS EXPEDICIONARIO,2.576249
MUNDO ENCANTADO EMEI,3.357488
EMEF PROFESSOR SUSSUMI IVAMA,3.82356
JOAO SABBI CRECHE MUNICIPAL,3.153368
HONORINA RIOS DE CARVALHO MELLO,2.608696
VICENTE BOTTI ESCOLA MUNICIPAL,3.404565
JOSE JOAQUIM DA SILVA ESCOLA MUNICIPAL,3.760248
BENEDITA FURQUIM DIAS CRECHE MUNICIPAL,2.612627
ROBERTO NEY NOVAES DE FIGUEIREDO DOUTOR ESCOLA MUNICIPAL,2.858156
MANOEL NETTO FILHO ESCOLA MUNICIPAL,3.817314
JOAO DE ALMEIDA ESCOLA MUNICIPAL,3.811367
ANTONIO DE CASTRO FIGUEIROA ENGENHEIRO ESCOLA MUNICIPAL,3.920807
RODOVALHO COMENDADOR ESCOLA MUNICIPAL,3.338932
ISAURA KRUGER PROFA ESCOLA MUNICIPAL,3.494549
JOSE JESUS PAES ESCOLA MUNICIPAL,3.248561
GERALDO ALVES MACHADO PROF,1.985809
NILZA COSTA RODRIGUES PROFA CENTRO MUNICIPAL DE EDUCACAO,3.863102
EMEI JULIANA CAROLINE PIVETA,3.109244
ANGELICA DE OLIVEIRA PROFESSORA,2.533453
MARCIO DE SOUZA E MELLO MARECHAL DO AR,3.012842
APARECIDA MARQUES VACCARO EMEIF,2.921316
TEREZA ITO POLIDORIO PROFESSORA EMEIF,3.389314
EVA SOARES BOIGUES CRECHE MUNICIPAL,3.302676
VO LAU CRECHE MUNICIPAL,3.6844
ALVARES MACHADO EMEIF,2.980243
FRANCO MONTORO GOVERNADOR EMEIF,2.977336
MARIO COVAS GOVERNADOR EMEIF,2.726018
MARCIA HELENA FERNANDEZ DE ARAUJO PROFA EMEIF,3.156993
JOSE MOLINA VEREADOR EMEIF,2.674734
MERCEDES SANCHES YAMAFUKO PROFA EMEIF,3.065817
EMEI MARIA LUIZA MESSIAS RIBEIRO,2.262767
RAFAEL PAES DE BARROS DOUTOR,1.935865
FLAVIO ASSIS SOARES EMEI,3.637591
MARIO COVAS GOVERNADOR EMEF,3.781717
PENITENCIARIA VALENTIM ALVES DA SILVA,4.14661
JOSE BONIFACIO DO COUTO,2.557583
VIRGINIA RANGEL PEREIRA EMEI,3.304791
ARIANE NOGUEIRA DIAS CRECHE,2.381877
JOSE BONIFACIO DO COUTO EMEF,3.685239
EMEF PROFESSOR JONAS CORREA DE ARRUDA FILHO,3.929675
CRECHE TUPA,3.753171
LUIZ HIPOLITO PROFESSOR,2.083671
OCTAVIO SOARES DE ARRUDA PROF,1.68718
RISOLETA LOPES ARANHA PROFESSORA,2.129642
SILVINO JOSE DE OLIVEIRA PROF,3.246702
SAO VICENTE DE PAULO,1.661968
ALCINDO SOARES DO NASCIMENTO PROF,4.059783
MARIA JOSE DE MATTOS GOBBO PROFA,1.994518
MARIO PATARRA FRATTINI PROF,2.494244
MAURA ARRUDA GUIDOLIN PROFA,1.972842
JOAO DE CASTRO GONCALVES DR,1.732416
MAGI MONSENHOR,2.398851
ARY MENEGATTO PROF,1.997202
DELMIRA DE OLIVEIRA LOPES PROFA,2.409573
HEITOR PENTEADO DR,2.53381
DILECTA CENEVIVA MARTINELLI PROFA,2.402787
JOAO XXIII,3.135485
JOAO SOLIDARIO PEDROSO PROF,1.84175
OLYMPIA BARTH DE OLIVEIRA PROFA,1.775016
GERMANO BENENCASE MAESTRO,1.77253
SINESIA MARTINI PROFA,3.191623
ANTONIO ZANAGA PREFEITO,2.648768
CONSTANTINO AUGUSTO PINKE PROF,2.272039
MARCELINO TOMBI PROF,1.974465
CLARICE COSTA CONTI PROFA,3.404895
POLIVALENTE DE AMERICANA ETEC,3.793025
HYLDA PARDO DE OLIVEIRA PROFA,1.776841
BENTO PENTEADO DOS SANTOS PROF,2.491607
PHILOMENA MAGALY MAKLUF ROSSETTI PROFESSORA CIEP,4.246963
OCTAVIO CESAR BORGHI PROFESSOR CIEP,4.486166
ONIVA DE MOURA BRIZOLA PROFESSORA CIEP,4.256149
ANISIO SPINOLA TEIXEIRA PROFESSOR CIEP,4.47436
ARACATI EMEI,2.386957
ARACARI EMEI,3.784938
CASA DA CRIANCA ARACY,3.557207
MANAI EMEI,3.093438
JACINA EMEI,3.277548
CORIMBO EMEI,1.991813
CECI EMEI,3.694099
POTIRA EMEI,3.187281
SABIA EMEI,3.276973
BACURI EMEI,2.718427
TANGARA EMEI,3.936853
TEMPO DE VIVER CENTRO MUNICIPAL EDUCACAO DO AUTISTA,4.367544
BATUIRA EMEI,2.519057
PATURI EMEI,3.706328
PATATIVA EMEI,3.121118
CURUMIM EMEI,5.0
CARANDA EMEI,3.897839
CUNHATHAI EMEI,3.686563
CAIC CRECHE MUNICIPAL,2.972632
SYLVINO CHINELATTO CAIC PROFESSOR,4.328812
DARCY RIBEIRO EMEF,4.1177
PAULO FREIRE EMEF,4.003571
ANAJA CRECHE MUNICIPAL,4.035973
MAIRA CASA DA CRIANCA,3.51456
CHUI CRECHE MUNICIPAL,3.370255
CURIMA CRECHE MUNICIPAL,2.85398
TAPERA CRECHE MUNICIPAL,3.410248
TARAGUA CASA DA CRIANCA,4.121857
MANACA CASA DA CRIANCA,3.725372
FLORESTAN FERNANDES PROFESSOR EMEF,4.264055
ARAUNA CASA DA CRIANCA,3.441403
CASA DA CRIANCA ARAPIRANGA,3.836479
CASA DA CRIANCA CURIO,3.231497
GRAUNA CASA DA CRIANCA,3.169189
MILTON SANTOS PROFESSOR CENTRO INTEGRADO EDUCACAO PUBLICA,3.619983
PITANGA CASA DA CRIANCA,3.826802
URUPE CASA DA CRIANCA,3.533009
TAHIRA CASA DA CRIANCA,2.902576
JURITI CASA DA CRIANCA,4.146489
PANAMBY CASA DA CRIANCA,3.237995
CASA DA CRIANCA BAETI,4.034128
MARIA NILDE MASCELLANI CENTRO INTEGRADO DE EDUCACAO PUBLICA,3.797101
MARIA FRIZZARIN PROFA,2.189111
MARIA DO CARMO AUGUSTI PROFA,2.708765
CRECHE MUNICIPAL WANDA POLO MULLER,2.647751
JAGUARI CASA DA CRIANCA,3.611783
AEVP RENATO GONCALVES RODRIGUES CENTRO DENT PROV,4.377329
PROFESSORA MARIA LUCIA PADOVANI DE OLIVEIRA,2.003106
PROFESSORA LENY APPARECIDA PAGOTTO BOER,1.930553
PROFESSORA ORNELLA RITA FERRARI SACILOTTO,3.338722
ANTONIETA GHIZINI LENHARE PROFA,1.417717
NIOMAR APPARECIDA MATTOS GOBBO AMARAL GURGEL PROFA,2.427782
ANNA MARIA LUCIA DE NARDO MORAES BARROS PROFA,1.744591
IDALINA GRANDIN MIRANDOLA PROFA,2.278018
ANNA PERES DA SILVA PROFESSORA,1.625676
WILSON CAMARGO PROF,2.233833
SEBASTIANA PAIE RODELLA PROFA,1.674405
MARTINHO RUBENS BELLUCO PROFESSOR,2.210916
CEEJA ALDA MARANGONI FRANCA PROFA,3.038551
DINORA MARCONDES GOMES PROFA,2.427284
ALZIRA DIAS DE TOLEDO PIZA PROFA,2.401373
SIMONE IRENE PAVAO CER,3.183591
SHIRLEY PIEROBON NEUBHAHER CER,2.908696
LEILA LUCIA DIAS DE TOLEDO PIZA DURANTE CER,3.409555
JOAO BAPTISTA PEREIRA DE ALMEIDA DR EMEF,3.840994
AMERICO RONCALLI EMEF,3.807052
LUCIA MARIANA ROMANIA BERTI EMEF,3.410693
VIRGILIO GOMES PROF EMEF,3.467646
VERA LUCIA CAVASSANI CER,3.046806
LILIANE MAURICIO CENTRO DE EDUCACAO E RECREACAO,2.893179
THEREZA QUADRADO BARBIERI CENTRO DE EDUCACAO E RECREACAO,3.216091
CAROLINA OMETTO PAVAN CER,2.937001
MARA RUBIA LOURENCO GOES PROFA CER,3.717219
EMEF ATEMARO RODRIGUES DE SOUZA,3.643089
ALBERTO ALVES ROLLO DR,2.556993
CEMEI INFANTIL DANIEL FERNANDES VILAR,2.646351
JOSE ABRAO MELHEM,2.306871
JOSE JABUR PROFESSOR EM,3.64532
FRANCISCO DE VILAR HORTA EMEF,2.975334
JOAQUIM FERREIRA PIRES CEMEI,2.819468
NOEDIR MAZZINI,3.02076
FRANCISCO DA SILVEIRA FRANCO,2.722856
LUIZ LEITE,2.680512
RANGEL PESTANA,2.532683
NELSON ALVES DE GODOY DR,2.632923
CORIOLANO BURGOS DR,3.078107
JOAO BELARMINO ETEC,4.272414
DIONYSIA GERBI BEIRA,2.644779
JOSE SCALVI DE OLIVEIRA PROF,2.906775
SILVIO VICHI PROFESSOR ESCOLA MUNICIPAL DE EDUCACAO INFANTIL,3.56038
TIO PATINHAS ESCOLA MUNICIPAL DE EDUCACAO INFANTIL,2.618295
BRANCA DE NEVE CENTRO INTEGRADO MUNICIPAL DE EDUCACAO,3.456973
CHAPEUZINHO VERMELHO CENTRO INTEGRADO MUNICIPAL DE EDUCACAO,3.234578
CINDERELA CENTRO INTEGRADO MUNICIPAL DE EDUCACAO,3.128986
GARIBALDO CENTRO INTEGRADO MUNICIPAL DE EDUCACAO,3.850088
PETER PAN CIME,2.87506
POLICHINELO CENTRO INTEGRADO MUNICIPAL DE EDUCACAO,3.375286
PICA PAU CENTRO INTEGRADO MUNICIPAL DE EDUCACAO,3.288675
SOSSEGO DA MAMAE ESCOLA DE EDUCACAO INFANTIL,2.751202
GASPARZINHO ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL,3.178109
PINOQUIO CENTRO INTEGRADO MUNICIPAL DE EDUCACAO,3.470246
EMEI CEBOLINHA,3.487251
BAMBI CENTRO INTEGRADO MUNICIPAL DE EDUCACAO,3.227338
JACYRA RIBEIRO GUILARDI PROFESSORA CIME,2.841254
EMEF FLORIPES BUENO DA SILVA PROFA,3.27162
RAUL DE OLIVEIRA FAGUNDES EMEF,3.38745
CLARINDA DE ALMEIDA MELLO PROFA EMEF,3.327335
NICOLAU CONSOLI CENTRO INTEGRADO MUNICIPAL DE EDUCACAO,2.743271
GISLENE APARECIDA DA COSTA CORREA PROFA EMEF,3.402515
BEATRIZ SILVEIRA MONTEIRO PROFA CIME,2.746702
EMEI BAIRRO DOS PEDROSOS,1.644992
CIME BAIRRO DA AREIA BRANCA,3.585873
GISSELDA APARECIDA TUROLA PIOVEZAN,2.408196
MARIA IVETE FORNER ZUCHI CENTRO INTEGRADO MUN DE EDUCACAO,2.865048
CIME PROFESSORA MARIA LUCIA DE SIQUEIRA,2.695574
PLINIO MORATO DE OLIVEIRA CIME,1.541993
ARIOSTO RIBEIRO PERSICANO PROF,2.703846
PAULO TUROLLA,2.73801
MARIA APARECIDA DOS SANTOS CASTRO PROFA,2.491214
FERNANDO BARBOSA PROF,2.443434
JOSE JORGE NETO PROFESSOR,2.210281
ZEZE SALLES PROFA EMEF,4.260204
JOSE BENEDITO SODELLI ESCOLA MUNICIPAL DE EDUCACAO BASICA,3.487244
FRANCISCO TEODORO DE ANDRADE,2.354522
ALVARO GUIAO DR,3.122824
AUGUSTO MARIANI DR,2.644188
JOAO BREMBATTI CALVOSO,2.624369
EULALIA MATOS OLIVEIRA EMEI,2.943339
HOMERO BREMBATTI CALVOSO EMEI,1.981139
AMALIA MORANO TENCARTE CEI,3.176501
CLARA GOZZO GERALDO EMEI,3.250776
LOURDES SILVA CARDOSO CENTRO DE EDUCACAO INFANTIL,3.942273
IZABEL FELIPPINI PIZZO CEI,2.730701
LEONOR SALOMAO EMEI,2.79309
MARIA E VENTUROLLI PINESE EMEI,2.808534
FERNANDA LUSTOZA DA SILVA EMEI,3.537267
OLAVO ALVES CARNEIRO EMEI,2.413226
MARIA VERA QUENTAL TAMAI PROFESSORA EMEI,3.325842
ANNA MARIA MARINHO NUNES PROFESSORA EMEF,3.699216
HUMBERTO PASSARELLI EMEBI,2.996519
LEONOR SALOMAO EMEF,3.599995
ONDINA HOFIG DE CASTILHO PROFA ESC MUN DE ED BASICA INTEGRAL,2.375559
JOSEPHA DE JESUS CARREIRA EMEF,3.050353
MARIA VERA QUENTAL TAMAI PROFESSORA EMEBI,3.173215
ZORAIDE DE CARVALHO OLIVEIRA PROFESSORA EMEF,3.343356
TRINIDADE TENO CASTILHO DONA PLACIDA CEI,3.1562
RUY AMARAL PRADO DR CENTRO DE EDUCACAO INFANTIL,3.797516
SEBASTIAO MORAES CENTRO DE EDUCACAO INFANTIL,2.658385
EDUCADOR PAULO FREIRE EMEIEF,2.089978
PENITENCIARIA DE ANDRADINA,4.363354
EXPEDICIONARIO EUPHOSINO DE ALMEIDA CEI,2.518351
ROSELI MAGALHAES GEMINIANO PROFA CENTRO DE EDUCACAO INFANTIL,2.737578
GERSON PAULINO DE MELO PROFESSOR CEI,2.595109
CENTRO DE EDUCACAO INFANTIL IRENE SUEKO MIYASHIRO,3.17764
JOAO CARREIRA EMEI,1.155041
JOSEPHA DE JESUS CARREIRA EMEI,2.128243
JOAO CARREIRA,2.354037
SEBASTIANA AUGUSTA DE MORAES ETEC,3.831259
ALICE MARQUES DA SILVA ROCHA,3.578771
IVENS VIEIRA,3.182891
FORTUNATO DE CAMARGO DR,2.265042
DIVA MORAES CAMARGO PUCCI PROFA EMEIF,2.52987
MARIA SALETE BASILE SALES EMEIF,2.882934
MARIA ISABEL LOPES DE OLIVEIRA PROFA EMEF,3.492447
MARIA INEZ DOS SANTOS PROFA EMEIF,2.808529
AFFONSO BASILE PROF EMEIF,3.260949
FAZENDA POLENGHI EMEIF,1.538084
BAIRRO SERRA DA BOA VISTA EMEIF,2.099802
HERMINIA ARAUJO PROFESSORA EM,2.996146
BAIRRO BATALHEIRA EMEIF,2.402484
ORESTES ORIS DE ALBUQUERQUE PROF,2.775569
VALENTIM DO AMARAL,3.179119
PICAPAU AMARELO EMEI,3.064623
MARIO COVAS GOVERNADOR EMEF,3.183833
DALVA CALHIM ABUD PROFA EMEF,2.672994
OLINDA DE FATIMA CASIMIRO SOARES PROFESSORA EMEF,2.639064
JARDIM NOVA ANHEMBI ESCOLA MUNICIPAL DE EDUCACAO INFANTIL,3.150233
FRANCISCO WHITACKER CORONEL,1.924642
ESCOLA MUNICIPAL DE EDUCACAO INFANTIL PROFESSOR JOSE EDE DUELA,1.824324
ADHEMAR PALMIRO EMEF,2.117053
CLOTILDES LOPES TREVISAN PROFESSORA CRECHE MUNICIPAL,2.523419
EDGARD DE SOUZA DR,1.835495
AMERICO ALVES,2.909411
MURILLO DO AMARAL PROF,2.088118
PAULINA CARDOSO PROFA,2.302277
VIRGULINA MARCONDES DE MOURA FAZZERI PROFA EMEF,3.311753
MARIETA VILELA DA COSTA BRAGA PROFA EMEF,3.535551
ANISIO NOVAES EMEF,3.663665
MARISTELLA JACOB DE SOUZA PROFA CRECHE ESCOLA,2.894854
CRECHE EMEI PROFA MARIA TEREZINHA VILELA DE LIMA,3.154016
CARLINHOS DOM EMEI,3.646716
CRIANCA FELIZ CRECHE EMEI,2.885498
FRANCISCA DE LIMA JORGE DONA EMEI,2.731194
JOSE DO PRADO ZUZA EMEI,2.880435
SANTA LUZIA CRECHE EMEI,2.838914
SANTA TEREZINHA CRECHE EMEI,2.843168
VERA LUCIA BOURABEBE CRECHE EMEI,2.770389
MARIA APARECIDA DA ENCARNACAO PROFA EMEF,2.361323
SILVANIA APARECIDA DE SOUZA BOMBACHI DE PAIVA CRECHE ESCOLA,3.359684
JOSE GERALDO LEMES VALLADAO PREF EMEIEF,2.905575
CHAGAS PEREIRA EMEF,2.759919
MANOEL IGNACIO DE MORAES EMEF INTEGRAL,3.652909
EMEFI PROF AURELIANO PAIXAO,2.505099
SOLON PEREIRA PREFEITO EMEF,3.781832
MARIA HELENA CAMARGO L BARBOSA PROFA EMEF INTEGRAL,3.250086
EMEF PROFA HELOISA DE CASTRO ENCARNACAO PINTO BARBOZA,3.202438
SALGADO COMENDADOR,3.312328
MARIA CONCEICAO PIRES DO RIO PROFA EMEF,3.084606
MATHILDE FAZZERI PROFA COLEGIO TEC MUNICIPAL DE APARECIDA,2.830435
MARIA DA GLORIA FREITAS PROFESSORA EMEI CRECHE INTEGRAL,2.499639
OSWALDO MORAES DE CASTRO CRECHE,2.313129
CORIPHEU DE AZEVEDO MARQUES,2.744367
MARIZA DE OLIVEIRA VONO EMEI,3.10317
DIRCE DE ALMEIDA BRAGA WRASEK PROFA EMEF,4.647464
REGINA DIAS ANTUNES DA SILVA PROFA,2.55701
ANTONIA BAPTISTA CALAZANS LUZ PROFA,2.901295
AMBROSINA DE OLIVEIRA MATTOS PROFA,1.901664
SYLVIA NOEMIA DE ALBUQUERQUE MARTINS PROFA,1.962087
JOAO PEDRO DO NASCIMENTO PROF,2.177258
OSWALDINA SANTOS PROFA,2.585714
ROSARIA JANUZZI PROFA,1.630944
LEOPOLDO LEME VERNECK,2.847758
ALA EMEIEF,3.245989
CEMAE PROFA ROSANA DE LIMA,3.663383
HONORINA DE ALBUQUERQUE PROFA EMEIEF,2.838834
CEMEIEF PROFA NEYDE DOS SANTOS LISBOA FISCHER,4.054893
ELISA DOS SANTOS PROFA EMEIEF,2.764701
EMEIEF PROFA HELENA PINHEIROS KLINGUELFUSS,2.320566
CEMEIEF PROFA CACILDA COSTA SILVA SANTINI,1.696633
CEMEIEF PROFA MARIA APARECIDA DE LIMA GARCIA,3.493789
ETEC DE APIAI,2.550651
CEMEI PROFA LUCI APARECIDA RODRIGUES CARDOSO,4.145963
EMEIEF DO BAIRRO CONCEICAO DO HERVAL,1.482919
CEMEIEF PROFA DINA FERREIRA CURY DIAS BAPTISTA,2.557208
CEMEIEF PROFA CAROLINA FERREIRA LIMA,2.975155
CEMEIEF PROFA MARIA APARECIDA MARGARIDO COSTA,2.756211
CEMEIEF VOVO MARIA BILESCKI,2.768847
JULIA RIBEIRO BRETAS PROFA,2.75788
VERA LUCIA COSMO LUCENA PROFESSORA,1.675192
ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E FUNDAMENTAL ALEX DIONIZIO DA SILVA,1.312243
ESCOLA MUNICIPAL DE EDUCACAO INFANTIL E ENSINO FUNDAMENTAL DALCINA PEREIRA MOREIRA,1.935725
EMEI PROFESSORA ALZIRA DE CARVALHO GUEDES,1.353843
JORGE LUIZ MAGALHAES EMEIF,1.37583
HUMBERTO VICTORAZZO PROFESSOR,2.855229
PRACA DA BIBLIA EMEI,2.151447
ROSALINA SILVESTRINI BONIFACIO EMEIF,1.241397
THEREZA DE CAMPOS CASTRO PROFESSORA EMEF,2.388899
ANTONIETA CHAVES CINTRA GORDINHO EMEF,2.581886
MANOEL AMARO DE ANDRADE EMEIEF,1.533181
BAIRRO RIO ACIMA EMEIEF R,1.762559
RADA SMAILI EMEIF,1.389118
CRECHE SONIA REGINA DE ANDRADE REINO,2.003599
CRISTIANO OZORIO ZAPAROLLI EMEIF,1.909597
JORGE AMADO EMEIF,1.965911
ALBERTO FERNANDES DE ARAUJO EMEF,2.446286
LAZARA APARECIDA MORAES ANDRADE PROFESSORA EMEI,2.095788
SILVIA PINHEIRO MODESTO EMEI,2.085099
JUSCELINO KUBITSCHEK EMEF,2.613982
ILDA VIEIRA DE MORAES EMEIF,2.505855
LUIZ GAMA,2.197288
LICOLINA VILLELA REIS ALVES PROFA,2.578125
CLOVIS DE ARRUDA CAMPOS DR,1.478935
NILCE MAIA SOUTO MELO PROFA,2.323633
JOSE AUGUSTO LOPES BORGES PROF,2.215713
MANOEL BENTO DA CRUZ,2.456533
VITOR ANTONIO TRINDADE PROF,2.195566
JOSE CANDIDO,2.466915
PURCINA ELISA DE ALMEIDA PROFA,2.631282
JORGE CORREA PROF,3.517589
GENESIO DE ASSIS PROF,2.157238
VANIOLE DIONYSIO MARQUES PAVAN PROFA,2.52498
MARIA APPARECIDA BALTHAZAR POCO PROFA,2.488877
JOSE ARANTES TERRA PROF,1.926322
JOUBERT DE CARVALHO DR,1.81403
SILVESTRE AUGUSTO DO NASCIMENTO,2.337583
ALTINA MORAES SAMPAIO PROFA,2.642857
LEONISIA DE CASTRO EMEB,3.039243
ALICE COUTO DE MORAES EMEB,3.954303
CAMILA TOMASHINSKY EMEB,3.181012
IBIS PEREIRA PAIVA PROFESSORA EMEB,3.569546
FAUSTINA MAXIMINIANO DO AMARAL EMEB,2.693296
LUCILENE DO NASCIMENTO EMEB,3.79187
ENOY CHAVES DA COSTA LEONE PROFESSORA EMEB,2.705479
JOAQUIM FERNANDES PROFESSOR EMEB,2.833456
MARIANA GUEDES TIBAGY PROFESSORA EMEB,2.938453
